time,balance,datetime
1775571300,493.0,2026-04-07 14:15:00
1775572200,493.0,2026-04-07 14:30:00
1775573100,493.0,2026-04-07 14:45:00
1775574000,493.0,2026-04-07 15:00:00
1775574900,493.0,2026-04-07 15:15:00
1775576700,493.0,2026-04-07 15:45:00
1775577600,493.0,2026-04-07 16:00:00
1775578500,498.0,2026-04-07 16:15:00
1775579400,498.0,2026-04-07 16:30:00
1775580300,498.0,2026-04-07 16:45:00
1775581200,498.0,2026-04-07 17:00:00
1775583000,498.0,2026-04-07 17:30:00
1775583900,503.0,2026-04-07 17:45:00
1775584800,503.0,2026-04-07 18:00:00
1775585700,503.0,2026-04-07 18:15:00
1775588400,503.0,2026-04-07 19:00:00
1775589300,503.0,2026-04-07 19:15:00
1775592900,503.0,2026-04-07 20:15:00
1775593800,503.0,2026-04-07 20:30:00
1775594700,503.0,2026-04-07 20:45:00
1775595600,503.0,2026-04-07 21:00:00
1775596500,503.0,2026-04-07 21:15:00
1775597400,503.0,2026-04-07 21:30:00
1775598300,503.0,2026-04-07 21:45:00
1775599200,503.0,2026-04-07 22:00:00
1775600100,503.0,2026-04-07 22:15:00
1775601000,503.0,2026-04-07 22:30:00
1775601900,503.0,2026-04-07 22:45:00
1775602800,503.0,2026-04-07 23:00:00
1775603700,503.0,2026-04-07 23:15:00
1775604600,503.0,2026-04-07 23:30:00
1775605500,503.0,2026-04-07 23:45:00
1775606400,503.0,2026-04-08 00:00:00
1775608200,503.0,2026-04-08 00:30:00
1775610000,503.0,2026-04-08 01:00:00
1775610900,503.0,2026-04-08 01:15:00
1775611800,503.0,2026-04-08 01:30:00
1775612700,503.0,2026-04-08 01:45:00
1775613600,503.0,2026-04-08 02:00:00
1775615400,503.0,2026-04-08 02:30:00
1775617200,503.0,2026-04-08 03:00:00
1775618100,503.0,2026-04-08 03:15:00
1775619900,503.0,2026-04-08 03:45:00
1775621700,503.0,2026-04-08 04:15:00
1775623500,501.0,2026-04-08 04:45:00
1775624400,501.0,2026-04-08 05:00:00
1775625300,501.0,2026-04-08 05:15:00
1775626200,501.0,2026-04-08 05:30:00
1775627100,501.0,2026-04-08 05:45:00
1775628000,501.0,2026-04-08 06:00:00
1775628900,501.0,2026-04-08 06:15:00
1775629800,501.0,2026-04-08 06:30:00
1775630700,501.0,2026-04-08 06:45:00
1775632500,501.0,2026-04-08 07:15:00
1775635200,501.0,2026-04-08 08:00:00
1775637000,501.0,2026-04-08 08:30:00
1775637900,501.0,2026-04-08 08:45:00
1775638800,501.0,2026-04-08 09:00:00
1775639700,501.0,2026-04-08 09:15:00
1775641500,501.0,2026-04-08 09:45:00
1775642400,501.0,2026-04-08 10:00:00
1775643300,501.0,2026-04-08 10:15:00
1775644200,501.0,2026-04-08 10:30:00
1775645100,501.0,2026-04-08 10:45:00
1775646000,501.0,2026-04-08 11:00:00
1775646900,501.0,2026-04-08 11:15:00
1775650500,501.0,2026-04-08 12:15:00
1775651400,501.0,2026-04-08 12:30:00
1775652300,501.0,2026-04-08 12:45:00
1775653200,501.0,2026-04-08 13:00:00
1775654100,501.0,2026-04-08 13:15:00
1775655000,501.0,2026-04-08 13:30:00
1775657700,501.0,2026-04-08 14:15:00
1775658600,501.0,2026-04-08 14:30:00
1775659500,501.0,2026-04-08 14:45:00
1775660400,501.0,2026-04-08 15:00:00
1775661300,501.0,2026-04-08 15:15:00
